Name,City,Venue,Quote1,Quote2,Occasion,MatchConfidence,DuplicateFlag,VenueID,FoodboardID,Cuisine,RawVenue,TranscriptFile,match_1,score_1,match_2,score_2,match_3,score_3
Alisha Henderson,Melbourne,The Night Cat (transcribed as 'The night card in Fitzroy'),"On a Sunday night specifically, because they have a salsa night.","Live Latin band and an instructor taking you through salsa class, so it is so much fun.",,corrected,,venue.QVVTLlZJQy4xMDAwNzYxNA==,foodboard.5CtjVqCYjHq284FAtcAmY,,The night card in Fitzroy,Alisha Henderson_IG_V4.docx,,,,,,
Alisha Henderson,Melbourne,Casa Nata (transcribed as 'sonata'),Casa Nata for their Portuguese egg tart. I still can't get enough of other people's sweet baking.,That is my number one guilty pleasure.,,corrected,,venue.7EQbA2u8Zc4CTkM5CeUsR,foodboard.5CtjVqCYjHq284FAtcAmY,Tart | Coffee,sonata,Alisha Henderson_IG_V4.docx,,,,,,
Allan Doert-Eccles,Melbourne,Brae Restaurant (transcribed as 'Bray'),"They grow everything on site, they make the most of the produce around. It's world-class.","Some of the best hospitality, best food, and a beautiful location.",,corrected,,venue.QVVTLlZJQy4xMDAwMDU0NA==,foodboard.QWxsYW4gRG9lcnQtRWNjbGVz,,Bray,Allan Doert-Eccles.docx,,,,,,
Allan Doert-Eccles,Melbourne,Patricia Coffee Brewers (transcribed as 'Trisha's in the city'),"They hand selected the best coffee from the best roasters, along with the best pastry from the best bakers.",,coffee,corrected,,venue.QVVTLlZJQy4xMDAwNjA0NA==,foodboard.QWxsYW4gRG9lcnQtRWNjbGVz,Coffee,Trisha's in the city,Allan Doert-Eccles.docx,,,,,,
Allan Doert-Eccles,Melbourne,Embla (transcribed as 'M bar'),"It is a wine bar, and it's an awesome wine list.","There's always something super interesting and tasty. The food speaks for itself, very good.",wine bar,corrected,,venue.QVVTLlZJQy4xMDAwNTg4MQ==,foodboard.QWxsYW4gRG9lcnQtRWNjbGVz,Modern Australian,M bar,Allan Doert-Eccles.docx,,,,,,
Allan Doert-Eccles,Melbourne,Hanna's Kebab (transcribed as 'Hannah's good baths on Sydney Road'),Kebabs in Melbourne. They're all different. Everyone does something a little bit different.,But these guys are definitely a simple kebab.,,corrected,,venue.QVVTLlZJQy4xMDAwNjkzMA==,foodboard.QWxsYW4gRG9lcnQtRWNjbGVz,Kebab,Hannah's good baths on Sydney Road,Allan Doert-Eccles.docx,,,,,,
Allan Doert-Eccles,Melbourne,Luther's Scoops,"Just really, really good ice cream.",Their pie ice cream is exceptional.,,high,,venue.QVVTLlZJQy4xMDAwNTk5MA==,foodboard.QWxsYW4gRG9lcnQtRWNjbGVz,Ice Cream,Luther's scoops,Allan Doert-Eccles.docx,,,,,,
Alric Hansen,Wellington,Margot,Appreciate the good quality cooking. Pom and Cuno do a very good job there.,The New Zealand focused wine list is probably the go-to for me.,,fuzzy_matched,,,,,Margot,Alric Hansen_IG_V6.docx,Margot,100,The Ram,58,The Welsh Dragon Bar,50
Alric Hansen,Wellington,Rich Coffee Roasters,Good friends of mine make that in Beringpour. Anywhere that stocks that I'm really into it.,"Like I said, they make fantastic coffee. Absolutely incredible.",coffee,fuzzy_matched,,,,,rich coffee,Alric Hansen_IG_V6.docx,Rich Coffee Roasters,70,Orange Coffee Shop,56,Peoples Coffee Constable Street,47
Alric Hansen,Wellington,Somtum Thai Restaurant,I spend a lot of time in Thailand and it just really strikes them over with me.,"The Somtum Thai, which is the carrot salad.",,fuzzy_matched,,,,Thai,Somtum Thai on Cuba Street,Alric Hansen_IG_V6.docx,Somtum Thai Restaurant,74,The Ram,63,Peoples Coffee Constable Street,52
Alric Hansen,Wellington,The Ram,Pretty classic Australian kind of pub food and the wine list is really good.,,,fuzzy_matched,,,,,The ram,Alric Hansen_IG_V6.docx,The Ram,86,The Welsh Dragon Bar,71,The Hangar,65
Alvaro Machado,Bali,Nusantara by Locavore (transcribed as 'Nusantara'),"The best Indonesian food from all the 17,000 islands of Indonesia in one place. It's magical.",You just need to go out to live it and it will not let down for sure.,,corrected,,venue.SU5ELkJBTEkuMTAwMDExNzY=,foodboard.cGevOeluReV-_VV1KtFLW,Indonesian,Nusantara,Alvaro Machado.docx,,,,,,
Alvaro Machado,Bali,Beige Coffee (transcribed as 'Bage'),"Number one. Anything latte ice hot, matcha. It's a very small coffee, but the coffee is...",,coffee,corrected,,venue.SU5ELkJBTEkuMTAwMDM0MjM=,foodboard.cGevOeluReV-_VV1KtFLW,Coffee,Bage,Alvaro Machado.docx,,,,,,
Alvaro Machado,Bali,Roots,"I love your bowls so much, the salad bowls, you can make your own bowl.","Super fresh, yummy, great quality. Good coffee as well. The service is amazing.",,high,,venue.SU5ELkJBTEkuMTAwMDA5MjA=,foodboard.cGevOeluReV-_VV1KtFLW,Plant-based | Vegetarian,Roots,Alvaro Machado.docx,,,,,,
Alvaro Machado,Bali,Potato Head Beach Club (transcribed as 'potato head'),"You want to spend a whole day in one place, this potato head. Meditation at 6.30 in the morning.","You can go to the beach club to have coffee, then to the library to work.",,corrected,,venue.SU5ELkJBTEkuMTAwMDMzMjI=,foodboard.cGevOeluReV-_VV1KtFLW,Cocktail,potato head,Alvaro Machado.docx,,,,,,
Alvaro Machado,Bali,Warung Sika (transcribed as 'see kabob'),"That's our go-to, fast, yum, fresh. I'm good at everything, and everything I try is good.",,,corrected,,venue.SU5ELkJBTEkuMTAwMDA3MDk=,foodboard.cGevOeluReV-_VV1KtFLW,Indonesian,see kabob,Alvaro Machado.docx,,,,,,
Amanda Fuller,Sydney,Ester Restaurant (transcribed as 'Esta'),"Without a doubt. Fermented bread, beef tartare, gong.",,,corrected,,venue.QVVTLk5TVy4xMDAwMTU0Nw==,foodboard.dXNlci5JOWZvZWR5amoyU3dBeDZTQ2V4U0FZQjNIRWcx,Modern Australian,Esta,Amanda Fuller.docx,,,,,,
Amanda Fuller,Sydney,This Way Canteen,Cold brews my order. I could drink 10 a day.,,coffee,high,,venue.QVVTLk5TVy4xMDAwNjU3MA==,foodboard.dXNlci5JOWZvZWR5amoyU3dBeDZTQ2V4U0FZQjNIRWcx,,this way canteen,Amanda Fuller.docx,,,,,,
Amanda Fuller,Sydney,Ragazzi (transcribed as 'Regazzi'),"I think Ragazzi's great. Great pasta, wine, what could be better?",,,corrected,,venue.QVVTLk5TVy4xMDAwNjM5MQ==,foodboard.dXNlci5JOWZvZWR5amoyU3dBeDZTQ2V4U0FZQjNIRWcx,Italian,Regazzi,Amanda Fuller.docx,,,,,,
Amanda Fuller,Sydney,PS40,I love to go for the cocktails. I love the wheeze. The wheeze cocktail.,"Mango wheeze bar, salty, sweet.",,high,,venue.QVVTLk5TVy4xMDAwNjQ1Mg==,foodboard.dXNlci5JOWZvZWR5amoyU3dBeDZTQ2V4U0FZQjNIRWcx,Cocktail,PS40,Amanda Fuller.docx,,,,,,
Amanda Fuller,Sydney,Butter Surry Hills (transcribed as 'butter'),"Best burger in Sydney, hands down. Crispy chicken, halloumi finger fries.",,,corrected,,venue.QVVTLk5TVy4xMDAwNTE0Ng==,foodboard.dXNlci5JOWZvZWR5amoyU3dBeDZTQ2V4U0FZQjNIRWcx,Brunch | Burger,butter,Amanda Fuller.docx,,,,,,
Amelia Birch,Sydney,Fontana (transcribed as 'Club Fontana'),Such a warm environment. Authenticity really comes through and that's important to me.,They put so much time and effort into speaking to you as a customer about the food.,,corrected,,venue.QVVTLk5TVy4xMDAwNjE5Nw==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,,Club Fontana,Amelia Birch_V3.docx,,,,,,
Amelia Birch,Sydney,Soulmate Coffee (transcribed as 'Soulmate'),"It's open, it's light, it's pretty cas, you can sit inside or get takeaway and sit outside.",,coffee,corrected,,venue.QVVTLk5TVy4xMDAwNjYzNA==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,Coffee,Soulmate,Amelia Birch_V3.docx,,,,,,
Amelia Birch,Sydney,Penny's Cheese Shop (transcribed as 'Penny's cheese shop in Potts Point'),She is like a queen of cheese and she makes these toasties with multiple cheeses.,It's amazing.,,corrected,,venue.QVVTLk5TVy4xMDAwNjk3NQ==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,Cheese,Penny's cheese shop in Potts Point,Amelia Birch_V3.docx,,,,,,
Amelia Birch,Sydney,Fortunate Son Bar Enmore (transcribed as 'Fortune at Sun'),"Breakfast martini, so great. It's got marmalade in it. It's so good.",,,corrected,,venue.QVVTLk5TVy4xMDAwNjU3Mw==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,,Fortune at Sun,Amelia Birch_V3.docx,,,,,,
Amelia Birch,Sydney,Earl's Juke Joint,They're all just reflective of being really authentic and true to who they are.,,,high,,venue.QVVTLk5TVy4xMDAwNjQ4Nw==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,,Earl's juke joint,Amelia Birch_V3.docx,,,,,,
Amelia Birch,Sydney,Bar DEMO (transcribed as 'Bad demo'),Just open and they've got really delish martini.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjg3NQ==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,Australian,Bad demo,Amelia Birch_V3.docx,,,,,,
Amelia Birch,Sydney,Cairo Takeaway (transcribed as 'Kaira takeaway'),"Consistent and it's delicious and you can trust it. Chicken pocket, for lunch, delish.",,casual lunch,corrected,,venue.QVVTLk5TVy4xMDAwNDI1Mg==,foodboard.nvk8Y3hNuNtI3Qwx4cfQK,Egyptian,Kaira takeaway,Amelia Birch_V3.docx,,,,,,
Amina Elshafei,Sydney,Ho Jiak Town Hall - Junda's Playground (transcribed as 'Hojiak'),Hands down. Hor fun is my absolute go-to.,"It needs to have that gravy, that thick and gravy.",,corrected,,venue.QVVTLk5TVy4xMDAwNDU2NA==,foodboard.HBTgBpHu_Y0Czjeg8G90N,Malaysian,Hojiak,Amina Elshafei_V3.docx,,,,,,
Amina Elshafei,Sydney,Moon Phase,Does a lot of the Asian influence pastries. They do a kimchi cheese scroll.,,,high,,venue.QVVTLk5TVy4xMDAwNjk3Mg==,foodboard.HBTgBpHu_Y0Czjeg8G90N,Korean | Coffee,moon phase,Amina Elshafei_V3.docx,,,,,,
Amina Elshafei,Sydney,Glenorie Bakery (transcribed as 'glenori bakery'),"Country style bakery. Old school, you know, finger burns, but their pies.","Best pies in the West, potentially.",,corrected,,venue.QVVTLk5TVy4xMDAwMTI5OQ==,foodboard.HBTgBpHu_Y0Czjeg8G90N,,glenori bakery,Amina Elshafei_V3.docx,,,,,,
Amina Elshafei,Sydney,La Rouche Lebanese Restaurant (transcribed as 'La Rouscha'),It's a Lebanese eatery. They do the best falafels in Sydney. And I know my falafels.,You see all the Arab families taking them by dozens.,,corrected,,venue.QVVTLk5TVy4xMDAwMDc1Nw==,foodboard.HBTgBpHu_Y0Czjeg8G90N,Lebanese,La Rouscha,Amina Elshafei_V3.docx,,,,,,
Amina Elshafei,Sydney,Banh Bao Canley Heights (transcribed as 'Bun bao'),They do superb bao. They're so generous with their fillings.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjk3Mw==,foodboard.HBTgBpHu_Y0Czjeg8G90N,Vietnamese,Bun bao,Amina Elshafei_V3.docx,,,,,,
Amina Elshafei,Sydney,Irea Lidcombe (transcribed as 'yere in Lidcombe'),"A Korean joint, classic Korean street food. They've got this huge wall full of different types of banchan.",I never walk out empty-handed.,,corrected,,venue.QVVTLk5TVy4xMDAwNjk3NA==,foodboard.HBTgBpHu_Y0Czjeg8G90N,Korean,yere in Lidcombe,Amina Elshafei_V3.docx,,,,,,
Amy Tanner,Melbourne,Thien Nga (transcribed as 'Tinna in Richmond'),Prawn noodle soup is the best thing that you'll ever have.,They do like handmade wontons and it's like king prawn. It is so good.,,corrected,,venue.QVVTLlZJQy4xMDAwNzg2OA==,foodboard._MpJR-Ty-04zjtlRAMaNC,Vietnamese,Tinna in Richmond,Ammy Tanner_V2.docx,,,,,,
Amy Tanner,Melbourne,Masses Bagels (transcribed as 'Masters Bagels'),"Good coffee, good matcha, good bagels, can't be that.",I love that they're known for the bagels but they actually have good coffee too.,coffee,corrected,,venue.QVVTLlZJQy4xMDAwNzQ2NQ==,foodboard._MpJR-Ty-04zjtlRAMaNC,Bagel,Masters Bagels,Ammy Tanner_V2.docx,,,,,,
Amy Tanner,Melbourne,Tiba's Restaurant (transcribed as 'Tibb is on Sydney Road'),"The $40 Hassan grill, the best. You can like share it with two people.",You can take it for lunch the next day.,,corrected,,venue.QVVTLlZJQy4xMDAwMTU1OA==,foodboard._MpJR-Ty-04zjtlRAMaNC,Lebanese,Tibb is on Sydney Road,Ammy Tanner_V2.docx,,,,,,
Amy Tanner,Melbourne,The Gem Bar and Dining (transcribed as 'The gem in Collingwood'),"Nostra kitchen are doing a pop up there. Best steak, lasagna, 20, $25 a night.",,,corrected,,venue.QVVTLlZJQy4xMDAwNzE0NA==,foodboard._MpJR-Ty-04zjtlRAMaNC,,The gem in Collingwood,Ammy Tanner_V2.docx,,,,,,
Amy Tanner,Melbourne,Udon Yasan (transcribed as 'Grewed on your son on Russell Street'),$5.60. Face rape bowls. You can do the customisable.,"Fried chicken, fried tempura, seaweed. Under $10 you can get a full on meal.",,corrected,,venue.QVVTLlZJQy4xMDAwNjE5Mw==,foodboard._MpJR-Ty-04zjtlRAMaNC,Japanese,Grewed on your son on Russell Street,Ammy Tanner_V2.docx,,,,,,
Amy Tanner,Melbourne,Bahama Gold (transcribed as 'Bahamagal'),"Best music, best vibes. 10 dollar wine.","When that closes, go to the older one. For the last two hours.",late night,corrected,,venue.QVVTLlZJQy4xMDAwNjU1OQ==,foodboard._MpJR-Ty-04zjtlRAMaNC,Cocktail,Bahamagal,Ammy Tanner_V2.docx,,,,,,
Andrea Papadakis,Melbourne,France-Soir (transcribed as 'Francois'),"The vibe is amazing, the crew is great, food very consistent, it's what I like to eat on my days off.","Late dining, they serve until midnight. If you finish work a little bit early, you can get there.",late night,corrected,,venue.QVVTLlZJQy4xMDAwNDkwMQ==,foodboard.b55cdbdbea9154b4c1b7b062,French,Francois,Andrea Papadakis.docx,,,,,,
Andrea Papadakis,Melbourne,Caretaker's Cottage,"Amazing Guinness, the cocktails are awesome, but the sound system is also so good.",,,high,,venue.QVVTLlZJQy4xMDAwNTgyOQ==,foodboard.b55cdbdbea9154b4c1b7b062,Cocktail,Caretaker's cottage,Andrea Papadakis.docx,,,,,,
Andrea Papadakis,Melbourne,Builders Arms Hotel (transcribed as 'Builders arms'),"The food is like more like restaurant quality, and the vibe is also good.",,,corrected,,venue.QVVTLlZJQy4xMDAwNTgxNw==,foodboard.b55cdbdbea9154b4c1b7b062,Modern Australian | European,Builders arms,Andrea Papadakis.docx,,,,,,
Andrea Papadakis,Melbourne,Hinoki Japanese Pantry (transcribed as 'Pinocchi Japanese pantries'),"Amazing sushi, top quality. And if you want any supermarket Japanese bits, they have it all.",,,corrected,,venue.QVVTLlZJQy4xMDAwMjUzNA==,foodboard.b55cdbdbea9154b4c1b7b062,Japanese,Pinocchi Japanese pantries,Andrea Papadakis.docx,,,,,,
Andrea Papadakis,Melbourne,VEX (transcribed as 'Vex dining'),"Modern Australian, always seasonal, many tenses a lot. Surprisingly, it's always very good.",,,corrected,,venue.QVVTLlZJQy4xMDAwNjg1Mg==,foodboard.b55cdbdbea9154b4c1b7b062,Modern Australian | Mediterranean,Vex dining,Andrea Papadakis.docx,,,,,,
Andrea Vignali,Melbourne,Kazuki's Restaurant (transcribed as 'Cajukis'),The food is amazing. What Kazuki and his wife do is special.,"The feeling outside when you're dining is a little bit European, but the food is Japanese, modern Australian.",,corrected,,venue.QVVTLlZJQy4xMDAwNDI0NQ==,foodboard.3nuPr0YNd_dfBJZFQvhzQ,Japanese,Cajukis,Andrea Vigneli_V3.docx,,,,,,
Andrea Vignali,Melbourne,ST. ALi Coffee Roasters - South Melbourne (transcribed as 'Suddenly Italian coffee'),"Caramel, chocolatey, not acidic. Italo-disco is the blend to go for.",You can always trust in Italian with that coffee.,coffee,corrected,,venue.QVVTLlZJQy4xMDAwMzEyMA==,foodboard.3nuPr0YNd_dfBJZFQvhzQ,Coffee | Brunch,Suddenly Italian coffee,Andrea Vigneli_V3.docx,,,,,,
Andrea Vignali,Melbourne,The Recreation Bistro x Bottleshop (transcribed as 'The recreation'),"I grew with Luigi, my dog. We can eat outside. Cozy, the food is very good.",What Joe does is amazing. It feels like you're dining in his house.,,corrected,,venue.QVVTLlZJQy4xMDAwMjUwNQ==,foodboard.3nuPr0YNd_dfBJZFQvhzQ,,The recreation,Andrea Vigneli_V3.docx,,,,,,
Andrea Vignali,Melbourne,Above Board,"I hate noisy bars. You're relaxed, you're looking at the bartender, you're talking with them.",What Aiden and the team do is sensational. Definitely drink Bobby Burns.,,high,,venue.QVVTLlZJQy4xMDAwNTc0Ng==,foodboard.3nuPr0YNd_dfBJZFQvhzQ,Cocktail,Above board,Andrea Vigneli_V3.docx,,,,,,
Andrea Vignali,Melbourne,Ling Nan Chinese Restaurant (transcribed as 'Lingnam in the CBD'),Whoever walks in hospitality knows that Lingnan is the place to go.,You have to order XO pippies. You're gonna eat the fried doughnuts with the pippies.,,corrected,,venue.QVVTLlZJQy4xMDAwNjYxMg==,foodboard.3nuPr0YNd_dfBJZFQvhzQ,Chinese,Lingnam in the CBD,Andrea Vigneli_V3.docx,,,,,,
Andrea Vignali,Melbourne,Revolver Upstairs,"If I dream about a good time, that is the place that I would love to go.",You close your eyes and you drink with that revolver.,late night,high,,venue.QVVTLlZJQy4xMDAwNjYyMg==,foodboard.3nuPr0YNd_dfBJZFQvhzQ,Thai,revolver upstairs,Andrea Vigneli_V3.docx,,,,,,
Andrew Baturo,Brisbane,Agnes Restaurant,It's a uniquely wood-fired menu. Ben Williamson has done a great job down there.,"Great drinks, great service, it's warm, it's inviting, there's a lot of character and charisma.",,high,,venue.QVVTLkJORS4xMDAwMDA3MA==,foodboard.Oh9W-SrVFXYqmJd6g4eF9,Modern Australian,Agnes Restaurant,Andrew Baturo.docx,,,,,,
Andrew Baturo,Brisbane,Caravan Coffee-House (transcribed as 'coffee caravan'),"Insanely busy all the time but under pressure they're always really polite, friendly and courteous.","They get a consistent coffee out really quickly, I love it.",coffee,corrected,,venue.QVVTLkJORS4xMDAwNTgxNw==,foodboard.Oh9W-SrVFXYqmJd6g4eF9,,coffee caravan,Andrew Baturo.docx,,,,,,
Andrew Baturo,Brisbane,Riverbar & Kitchen (transcribed as 'River Bar'),"Right on the river, great for people watching, certainly the weather for it right now.",Really great cocktails and as you know it's a Matt Moran venue so the food's going to be great.,,corrected,,venue.QVVTLkJORS4xMDAwMDAyMg==,foodboard.Oh9W-SrVFXYqmJd6g4eF9,Australian | Cocktail,River Bar,Andrew Baturo.docx,,,,,,
Andrew Baturo,Brisbane,"Ruby, My Dear",It's a vinyl bar and Izakaya. They do amazing Japanese food.,I'd say it's more under the radar. People in New Farm are trying to keep it their own little secret.,,high,,venue.QVVTLkJORS4xMDAwNjA1MA==,foodboard.Oh9W-SrVFXYqmJd6g4eF9,Japanese,Ruby my dear,Andrew Baturo.docx,,,,,,
Andrew Baturo,Brisbane,Latin Shack Cafe (transcribed as 'Latin shark out at Sanford'),Paul and Margaret out there and their team are just a fantastic part of the community.,"Stop in, say good day and have a fantastic coffee.",coffee,corrected,,venue.QVVTLkJORS4xMDAwNTgxOA==,foodboard.Oh9W-SrVFXYqmJd6g4eF9,,Latin shark out at Sanford,Andrew Baturo.docx,,,,,,
Andrew Hardjasudarama,Sydney,Yoshii’s Omakase (transcribed as 'Yoshi Omakase'),Yoshi-san Hiyota-san is the ji ji ji of sushi master.,,fine dining,corrected,,venue.QVVTLk5TVy4xMDAwNjMwOQ==,foodboard.uEcD8KD6zphddK7N2z36P,Japanese,Yoshi Omakase,Andrew Hardjasudarama.docx,,,,,,
Andrew Hardjasudarama,Sydney,Double Tap Coffee (transcribed as 'Double-type coffee in Marifel'),The Kenya Korean Goh-chi is a wizard of black and white. Either black coffee or white coffee.,You can go wrong with that place.,coffee,corrected,,venue.QVVTLk5TVy4xMDAwNjQ5NQ==,foodboard.uEcD8KD6zphddK7N2z36P,Coffee | Sandwich/Subs,Double-type coffee in Marifel,Andrew Hardjasudarama.docx,,,,,,
Andrew Hardjasudarama,Sydney,Caysorn Thai (transcribed as 'Quezon Tai in Haymarket'),I like their clear pop soup with tofu. So the soup is curry.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjE2NQ==,foodboard.uEcD8KD6zphddK7N2z36P,Thai,Quezon Tai in Haymarket,Andrew Hardjasudarama.docx,,,,,,
Andrew Hardjasudarama,Sydney,Dear Sainte Éloise (transcribed as 'decent L.U.E'),He's a decent L.U.E. Nice wines. I love my Chablis.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjU3MQ==,foodboard.uEcD8KD6zphddK7N2z36P,,decent L.U.E,Andrew Hardjasudarama.docx,,,,,,
Andrew Hardjasudarama,Sydney,Westwood (transcribed as 'Westwood Pisseria in Newtown'),"I like that hot salami. Please call ahead to order. It's very, very busy. Small space.",,,corrected,,venue.QVVTLk5TVy4xMDAwNTA0Nw==,foodboard.uEcD8KD6zphddK7N2z36P,Pizza,Westwood Pisseria in Newtown,Andrew Hardjasudarama.docx,,,,,,
Andrew Wallace,Sydney,Lees Fortuna Court Chinese Restaurant (transcribed as 'Lee's Fortuna Restaurant Crowsness'),Number one Chinese in Sydney. And restaurant in Sydney.,,,corrected,,venue.QVVTLk5TVy4xMDAwMjA4OA==,foodboard.dXNlci5zQkhNdGcxbmlEYlNDaUxwRDA5ekpwZW10b04y,Chinese,Lee's Fortuna Restaurant Crowsness,Andrew Wallace.docx,,,,,,
Andrew Wallace,Sydney,Kawa (transcribed as 'Carwa cafe'),"Surrey Hills, funky little cafe, great coffee, great food. Just good spot.",,coffee,corrected,,venue.QVVTLk5TVy4xMDAwNjY5MQ==,foodboard.dXNlci5zQkhNdGcxbmlEYlNDaUxwRDA5ekpwZW10b04y,,Carwa cafe,Andrew Wallace.docx,,,,,,
Andrew Wallace,Sydney,The Lobo (transcribed as 'Low-boat plantation'),It's a rum bar. From the city. A lot of people say it's a good bar.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjQ4Ng==,foodboard.dXNlci5zQkhNdGcxbmlEYlNDaUxwRDA5ekpwZW10b04y,Cuban,Low-boat plantation,Andrew Wallace.docx,,,,,,
Andrew Wallace,Sydney,Lokal (transcribed as 'local wine bar in Surrey Hills'),"Just two guys that run it. One chef, one front of house. Chef cooks for everyone.","Every day, does everything himself. Check them out, amazing.",wine bar,corrected,,venue.QVVTLk5TVy4xMDAwNjU3Mg==,foodboard.dXNlci5zQkhNdGcxbmlEYlNDaUxwRDA5ekpwZW10b04y,,local wine bar in Surrey Hills,Andrew Wallace.docx,,,,,,
Andrew Wallace,Sydney,Mon Thai Eatery (transcribed as 'Mon eatery Thai'),"Best Thai I've ever had, honestly. Get the nasi goreng rice.","They don't speak a lot of English, amazing love them.",,corrected,,venue.QVVTLk5TVy4xMDAwNTg5MA==,foodboard.dXNlci5zQkhNdGcxbmlEYlNDaUxwRDA5ekpwZW10b04y,Thai,Mon eatery Thai,Andrew Wallace.docx,,,,,,
Andrew Wyse,Melbourne,Ten Minutes by Tractor,"Gino Mavro from McLaren Vale. A little bit of rustic red fruit, a little bit herbaceous.","Very savoury, just really good value.",wine bar,fuzzy_low,,,,,X by Palmyra,Andrew Wyse_IG.docx,Ten Minutes by Tractor,53,Big Esso by Mabu Mabu,52,Ombra,52
Andrew Wyse,Melbourne,Nabo (transcribed as 'Bangre in North Cut'),They've been doing it for a while. Everything they do is really interesting.,"Good wine list, Central Eastern European focus on food. Not a lot like it in Melbourne.",wine bar,corrected,,venue.QVVTLlZJQy4xMDAwNzEzNg==,foodboard.rSAEb0QFqRThG6hW3i69YRF4EB83,,Bangre in North Cut,Andrew Wyse_IG.docx,,,,,,
Andrew Wyse,Melbourne,Maha North,"Owen's doing a really small, well-considered wine list, covers a lot of grounds.","Small producers, good growers, global in focus, also a lot of Australia's best young producers.",wine bar,fuzzy_matched,,,,,Beck's in North Cut,Andrew Wyse_IG.docx,Maha North,70,True North,70,Piedimonte's Supermarket & Liquor North Fitzroy,58
Andy Bowden,Sydney,LuMi Dining,I like to go all out. Federico and his crew put it on a great feed there.,The food's just fucking delicious. It's always on point. Never disappointed.,fine dining,high,,venue.QVVTLk5TVy4xMDAwMzIyMQ==,foodboard.dXNlci5SMUlsZkpORUhvUzhOajAzV002akRldXVzRWcx,Italian | Japanese,Lumi dining,Andy Bowden.docx,,,,,,
Andy Bowden,Sydney,Artificer Coffee (transcribed as 'The artifice are in Surrey Hills'),I'm willing to drive all the way to Surrey Hills to get a coffee.,"It's a nice, relaxed atmosphere. The coffee's really good. The chat's really good. Great vibes.",coffee,corrected,,venue.QVVTLk5TVy4xMDAwNjQ5Ng==,foodboard.dXNlci5SMUlsZkpORUhvUzhOajAzV002akRldXVzRWcx,Coffee,The artifice are in Surrey Hills,Andy Bowden.docx,,,,,,
Andy Bowden,Sydney,Yiamas Greek Taverna (transcribed as 'Yum-us'),I love Greek food. I love eating meat. I love eating chips.,The salad's like an added bonus for the health benefit.,,corrected,,venue.QVVTLk5TVy4xMDAwMTY0NA==,foodboard.dXNlci5SMUlsZkpORUhvUzhOajAzV002akRldXVzRWcx,Greek,Yum-us,Andy Bowden.docx,,,,,,
Andy Bowden,Sydney,Fortunate Son Bar Enmore (transcribed as 'fortunate sun'),It's my kind of go-to on a Sunday night.,,,corrected,,venue.QVVTLk5TVy4xMDAwNjU3Mw==,foodboard.dXNlci5SMUlsZkpORUhvUzhOajAzV002akRldXVzRWcx,,fortunate sun,Andy Bowden.docx,,,,,,
Andy Bowden,Sydney,Jacoby’s Tiki Bar (transcribed as 'Jacobis'),"If I'm up for a party, I like to head up the road to Jacobis and get my sugar cocktail fix.",,late night,corrected,,venue.QVVTLk5TVy4xMDAwNjQ5MA==,foodboard.dXNlci5SMUlsZkpORUhvUzhOajAzV002akRldXVzRWcx,Cocktail,Jacobis,Andy Bowden.docx,,,,,,
Andy Bowden,Sydney,Fleetwood Macchiato,Great little coffee shop in Erskineville. Really good coffee. Their smashed egg roll is banging.,One of the best sandwiches in Sydney. Add chorizo to it for a party in your mouth.,coffee,high,,venue.QVVTLk5TVy4xMDAwNjQ5OQ==,foodboard.dXNlci5SMUlsZkpORUhvUzhOajAzV002akRldXVzRWcx,Coffee,Fleetwood Macchiato,Andy Bowden.docx,,,,,,
Andy Buchan,Melbourne,The Waiters Restaurant (transcribed as 'waiters'),You climb those stairs and you know what you're in for. You don't even need to look at the menu.,"It never changes. Couple of specials, but it just has an energy for it.",,corrected,,venue.QVVTLlZJQy4xMDAwMDA3MQ==,,Italian,waiters,Andy Buchan_IG.docx,,,,,,
Andy Buchan,Melbourne,Alex Canteen (transcribed as 'Alex Kentine'),I'll go down and have a Vietnamese ice coffee. I love it there.,Maybe a little bit of grilled pork and rice just to get the day going.,coffee,corrected,,venue.QVVTLlZJQy4xMDAwNzE0MA==,,Vietnamese,Alex Kentine,Andy Buchan_IG.docx,,,,,,
Andy Buchan,Melbourne,Donwoori Korean Restaurant (transcribed as 'Don Woori'),"It's BYO, you can sit outside. You can see the skyline over the top of the market buildings.",,,corrected,,venue.QVVTLlZJQy4xMDAwMDAyMA==,,Korean,Don Woori,Andy Buchan_IG.docx,,,,,,
Andy Buchan,Melbourne,Amiconi Restaurant (transcribed as 'Anacony'),In the heart of North Melbourne. The fit out is virtually unchanged.,It just has that beautiful warmth when you walk in. It just oozes like Melbourne in the 70s.,,corrected,,venue.QVVTLlZJQy4xMDAwMjU2Ng==,,Italian,Anacony,Andy Buchan_IG.docx,,,,,,
